가입일시,사용자코드,연령대코드,성별,가입 수
202201,회원-내국인,10대,F,112
202201,회원-내국인,10대,F,997
202201,회원-내국인,10대,M,89
202201,회원-내국인,10대,M,1264
202201,회원-내국인,20대,F,198
202201,회원-내국인,20대,F,2143
202201,회원-내국인,20대,M,160
202201,회원-내국인,20대,M,2391
202201,회원-내국인,30대,F,50
202201,회원-내국인,30대,F,925
202201,회원-내국인,30대,M,89
202201,회원-내국인,30대,M,1304
202201,회원-내국인,40대,F,70
202201,회원-내국인,40대,F,566
202201,회원-내국인,40대,M,113
202201,회원-내국인,40대,M,886
202201,회원-내국인,50대,F,51
202201,회원-내국인,50대,F,318
202201,회원-내국인,50대,M,158
202201,회원-내국인,50대,M,501
202201,회원-내국인,60대,F,9
202201,회원-내국인,60대,F,91
202201,회원-내국인,60대,M,57
202201,회원-내국인,60대,M,188
202201,회원-내국인,70대이상,F,3
202201,회원-내국인,70대이상,F,19
202201,회원-내국인,70대이상,M,5
202201,회원-내국인,70대이상,M,49
202201,회원-내국인,기타,F,37
202201,회원-내국인,기타,M,3
202201,회원-내국인,기타,M,12
202202,회원-내국인,10대,F,122
202202,회원-내국인,10대,F,1416
202202,회원-내국인,10대,M,85
202202,회원-내국인,10대,M,1704
202202,회원-내국인,20대,F,236
202202,회원-내국인,20대,F,3192
202202,회원-내국인,20대,M,157
202202,회원-내국인,20대,M,3226
202202,회원-내국인,30대,F,84
202202,회원-내국인,30대,F,1356
202202,회원-내국인,30대,M,84
202202,회원-내국인,30대,M,1742
202202,회원-내국인,40대,F,67
202202,회원-내국인,40대,F,913
202202,회원-내국인,40대,M,111
202202,회원-내국인,40대,M,1210
202202,회원-내국인,50대,F,47
202202,회원-내국인,50대,F,542
202202,회원-내국인,50대,M,128
202202,회원-내국인,50대,M,648
202202,회원-내국인,60대,F,9
202202,회원-내국인,60대,F,163
202202,회원-내국인,60대,M,52
202202,회원-내국인,60대,M,256
202202,회원-내국인,70대이상,F,1
202202,회원-내국인,70대이상,F,16
202202,회원-내국인,70대이상,M,3
202202,회원-내국인,70대이상,M,41
202202,회원-내국인,기타,F,51
202202,회원-내국인,기타,M,2
202202,회원-내국인,기타,M,23
202203,회원-내국인,10대,F,162
202203,회원-내국인,10대,F,2690
202203,회원-내국인,10대,M,131
202203,회원-내국인,10대,M,3069
202203,회원-내국인,20대,F,290
202203,회원-내국인,20대,F,8675
202203,회원-내국인,20대,M,230
202203,회원-내국인,20대,M,7887
202203,회원-내국인,30대,F,95
202203,회원-내국인,30대,F,3686
202203,회원-내국인,30대,M,87
202203,회원-내국인,30대,M,4308
202203,회원-내국인,40대,F,90
202203,회원-내국인,40대,F,2396
202203,회원-내국인,40대,M,127
202203,회원-내국인,40대,M,2980
202203,회원-내국인,50대,F,58
202203,회원-내국인,50대,F,1328
202203,회원-내국인,50대,M,141
202203,회원-내국인,50대,M,1447
202203,회원-내국인,60대,F,9
202203,회원-내국인,60대,F,365
202203,회원-내국인,60대,M,73
202203,회원-내국인,60대,M,508
202203,회원-내국인,70대이상,F,5
202203,회원-내국인,70대이상,F,45
202203,회원-내국인,70대이상,M,3
202203,회원-내국인,70대이상,M,106
202203,회원-내국인,기타,F,1
202203,회원-내국인,기타,F,146
202203,회원-내국인,기타,M,52
202204,회원-내국인,10대,F,160
202204,회원-내국인,10대,F,4820
202204,회원-내국인,10대,M,137
202204,회원-내국인,10대,M,5824
202204,회원-내국인,20대,F,455
202204,회원-내국인,20대,F,20097
202204,회원-내국인,20대,M,313
202204,회원-내국인,20대,M,17691
202204,회원-내국인,30대,F,178
202204,회원-내국인,30대,F,9509
202204,회원-내국인,30대,M,150
202204,회원-내국인,30대,M,11185
202204,회원-내국인,40대,F,130
202204,회원-내국인,40대,F,5727
202204,회원-내국인,40대,M,182
202204,회원-내국인,40대,M,6525
202204,회원-내국인,50대,F,94
202204,회원-내국인,50대,F,2897
202204,회원-내국인,50대,M,184
202204,회원-내국인,50대,M,3006
202204,회원-내국인,60대,F,19
202204,회원-내국인,60대,F,716
202204,회원-내국인,60대,M,80
202204,회원-내국인,60대,M,1085
202204,회원-내국인,70대이상,F,5
202204,회원-내국인,70대이상,F,126
202204,회원-내국인,70대이상,M,7
202204,회원-내국인,70대이상,M,177
202204,회원-내국인,기타,F,354
202204,회원-내국인,기타,M,2
202204,회원-내국인,기타,M,74
202205,회원-내국인,10대,F,331
202205,회원-내국인,10대,F,6853
202205,회원-내국인,10대,M,256
202205,회원-내국인,10대,M,8298
202205,회원-내국인,20대,F,766
202205,회원-내국인,20대,F,19127
202205,회원-내국인,20대,M,632
202205,회원-내국인,20대,M,18294
202205,회원-내국인,30대,F,395
202205,회원-내국인,30대,F,8942
202205,회원-내국인,30대,M,352
202205,회원-내국인,30대,M,11401
202205,회원-내국인,40대,F,306
202205,회원-내국인,40대,F,5656
202205,회원-내국인,40대,M,422
202205,회원-내국인,40대,M,6947
202205,회원-내국인,50대,F,188
202205,회원-내국인,50대,F,2929
202205,회원-내국인,50대,M,404
202205,회원-내국인,50대,M,3422
202205,회원-내국인,60대,F,45
202205,회원-내국인,60대,F,734
202205,회원-내국인,60대,M,162
202205,회원-내국인,60대,M,1080
202205,회원-내국인,70대이상,F,3
202205,회원-내국인,70대이상,F,123
202205,회원-내국인,70대이상,M,13
202205,회원-내국인,70대이상,M,219
202205,회원-내국인,기타,F,1
202205,회원-내국인,기타,F,394
202205,회원-내국인,기타,M,8
202205,회원-내국인,기타,M,83
202206,회원-내국인,10대,F,231
202206,회원-내국인,10대,F,3251
202206,회원-내국인,10대,M,210
202206,회원-내국인,10대,M,4802
202206,회원-내국인,20대,F,633
202206,회원-내국인,20대,F,11982
202206,회원-내국인,20대,M,492
202206,회원-내국인,20대,M,12825
202206,회원-내국인,30대,F,317
202206,회원-내국인,30대,F,6294
202206,회원-내국인,30대,M,291
202206,회원-내국인,30대,M,8758
202206,회원-내국인,40대,F,283
202206,회원-내국인,40대,F,4026
202206,회원-내국인,40대,M,428
202206,회원-내국인,40대,M,5428
202206,회원-내국인,50대,F,183
202206,회원-내국인,50대,F,2205
202206,회원-내국인,50대,M,380
202206,회원-내국인,50대,M,2892
202206,회원-내국인,60대,F,43
202206,회원-내국인,60대,F,594
202206,회원-내국인,60대,M,158
202206,회원-내국인,60대,M,930
202206,회원-내국인,70대이상,F,5
202206,회원-내국인,70대이상,F,94
202206,회원-내국인,70대이상,M,12
202206,회원-내국인,70대이상,M,171
202206,회원-내국인,기타,F,1
